ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A,EXPLAIN_A,RESULT_B,EXPLAIN_B
56.0,Excluded,ec3,8 - Company Profiles,"Publisher Summary The chapter comprises an alphabetical listing of profiles of major merchant manufacturers of gallium arsenide (GaAs) substrates, devices, and related equipment. The companies that are active in the commercial supply of materials and devices based on GaAs and related semiconductors are profiled in the chapter. The term â€œwaferâ€� used herein is a collective description that includes not only bare substrates but also epitaxial wafers (epiwafers). Manufacturers of GaAs wafers are not restricted to supplying electronic device companies. Many of these wafer suppliers are also active in the optoelectronics business. This market sector is comparable in size to that of the electronics sector but is almost exclusively based on discrete devices rather than integrated circuits (ICs). In terms of geography, the key players in the wafer business are located in the three main regions: Europe, Japan, and North America. However, there are a few additional suppliers in the Rest of the World (ROW) region, particularly in South-East Asia.",EXCLUDED,"The article does not address software requirements and focuses on semiconductor manufacturing companies, violating Exclusion Criterion EC3. It also does not discuss agile methodologies or software project requirements, thus failing to meet Inclusion Criterion IC1.",EXCLUDED,"The article does not meet the Inclusion Criteria, specifically IC1, as it does not address requirements in software projects using agile methodologies. Instead, it provides profiles of companies in the GaAs substrates, devices, and related equipment industry. Therefore, the article is excluded."
1079.0,Excluded,ec3,Dynamic provisioning in multi-tenant service clouds,"Cloud-based systems promise an on-demand service provisioning system along with a “pay-as-you-use” policy. In the case of multi-tenant systems this would mean dynamic creation of a tenant by integrating existing cloud-based services on the fly. Presently, dynamic creation of a tenant is handled by building the required components from scratch. Although multi-tenant systems help providers save cost by allocating multiple tenants to the same instance of an application, they incur huge reconfiguration costs. Cost and time spent on these reconfiguration activities can be reduced by re-constructing tenants from existing tenant configurations supported by service providers. Multi-tenant cloud-based systems also lack the facility of allowing clients to specify their requirements. Giving clients the flexibility to specify requirements helps them avoid spending an excessive amount of time and effort looking through a list of services, many of which might not be relevant to them. Moreover, dynamic provisioning in the cloud requires an integrated solution across the technology stack (software, platform and infrastructure) combining functional, non-functional and resource allocation requirements. Existing research works in the area of web service matching, although numerous, still fall short, since they usually consider each requirement type in isolation and cannot provide an integrated solution. To that end, in this paper we investigate the features needed for dynamic service provisioning on the cloud. We propose a novel User Interface-Tenant Selector-Customizer (UTC) model and approach, which enables cloud-based services to be systematically modeled and provisioned as variants of existing service tenants in the cloud. Our approach considers functional, non-functional and resource allocation requirements, which are explicitly specified by the client via the user interface component of the model. To the best of our knowledge, ours is the first such integrated approach. We illustrate our ideas using a realistic running example, and also present a proof-of-concept prototype built using IBM’s Rational Software Architect modeling tool. We also present experimental results demonstrating the applicability of our matching algorithm. Our results show significant reduction in matching time with the help of an elimination process that reduces the search space needed for performing matching.",EXCLUDED,"The article does not address software requirements in the context of agile methodologies. It focuses on dynamic provisioning in multi-tenant cloud systems and discusses functional, non-functional, and resource allocation requirements, but there is no mention or analysis of agile software development practices, processes, or methodologies. Therefore, it violates Exclusion Criterion EC3: 'the study does not address software requirements' in the context of agile methodologies.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from academia (not specified but generally considered part of academic research), and it seems to be a qualitative research (though not explicitly stated, the focus on systematic modeling and provisioning suggests a qualitative approach). It does not explicitly violate any Exclusion Criteria: the language is English (no EC1 violation), it does not focus on software requirements alone but rather integrates them (not EC3), it is not described as incomplete or a draft (no EC4), it is not a tertiary or meta-analysis (no EC5), it does not deal with teaching agile methods (no EC6), it does not fail to address agile methodologies as it proposes a model for dynamic provisioning (no EC7), and it appears to answer a research question about dynamic provisioning in cloud-based services (no EC9). Therefore, the article meets all Inclusion Criteria."
2556.0,Excluded,ec3,The whats and the whys of games and software engineering,The intersection of video games and software engineering is not yet well understood. This paper highlights the varied and exciting opportunities available at the intersection of these two disciplines. We investigate four main areas: the development of ...,EXCLUDED,"The article does not address software requirements as per Exclusion Criterion EC3. The abstract mentions the intersection of video games and software engineering but does not specify any study on software requirements in agile methodologies. Additionally, it does not clearly address at least one agile methodology or answer specific research questions, violating EC7 and EC9.",EXCLUDED,"While the article is about software engineering and games, it does not explicitly address agile methodologies (IC1 criterion). Additionally, the abstract does not indicate whether the study is qualitative or quantitative (IC3 criterion), nor does it specify if it's a primary or secondary study (IC4 criterion). Hence, it fails to meet all inclusion criteria."
491.0,Included,included,An approach to applying SOFL for agile process and its application in developing a test support tool,"Structured Object-Oriented Formal Language (SOFL) is a representative formal engineering method for software development. It offers a three-step specification approach to constructing formal specifications, and specification-based inspection and testing for verification and validation. In this paper, we describe a novel approach to applying the SOFL method to achieve agile development process. This approach results from our experience in several collaboration projects with industry, and aims to strike a balance between the fast delivery of software product and the assurance of its quality. We have tested the approach in developing a prototype test support tool.",INCLUDED,"The article addresses software requirements in an agile development context using SOFL, a formal method, and describes a practical approach applied in industry. It is a primary study that presents a novel application of a formal method to agile processes, satisfies IC1 (software requirements in agile projects), IC2 (industry-based study), IC3 (qualitative/empirical approach), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses a specific agile methodology (implied by agile process integration) (EC7), and answers a clear research question (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria.",INCLUDED,"The article addresses software requirements using agile methodologies (IC1), is from industry collaboration projects (IC2), and describes a primary study of applying SOFL in agile process development (IC4). It does not violate any exclusion criteria as it is not in a language other than English, is not a draft, presentation slides, or abstract, does not deal with teaching agile methods, addresses agile methodology (SOFL), and answers the research question of applying SOFL for agile development process (EC9)."
1656.0,Excluded,ec3,Marriott's Agile Turnaround,"When Marriott began to build its brand management intranet, the tech vendor ran into several problems that jeopardized the whole program. The introduction of Agile began a long recovery process: When should you be covert/overt with Agile practices? How do you convince stakeholders a daily concall is more efficient than a weekly concall? Why would you pay for the tech vendorpsilas Agile training? How do you structure Firm Fixed pricing to be Agile? This is the story of how applying Agile techniques, first covertly, then out in the open, slowly steered the ship on course.",EXCLUDED,"The article is a narrative case study that does not address specific software requirements or answer any research questions, violating EC9. Additionally, it lacks a clear focus on agile methodologies in the context of software project requirements, failing to meet IC1. The study does not provide empirical data or a structured analysis of agile practices in software development, thus not satisfying the inclusion criteria.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1). It's not specified whether it's from industry or academia, hence it can be assumed to be either (IC2). The article is qualitative, as it describes a real-life situation and recovery process (IC3). It's a primary study, telling the story of Marriott's Agile turnaround (IC4). The article does not violate any Exclusion Criteria as it's written in English (EC1), addresses software requirements (EC3), is complete (no indication of being a draft, slides, or abstract - EC4), it's not a tertiary or meta-analysis (EC5), does not deal with teaching agile methods (EC6), addresses at least one agile methodology (EC7), and seems to answer research questions related to Agile practices (EC9)."
2835.0,Included,included,XFM: An incremental methodology for developing formal models,"We present an agile formal methodology named eXtreme Formal Modeling (XFM), based on Extreme Programming (XP) concepts to construct abstract models from natural language specifications of complex systems. In particular, we focus on Prescriptive Formal ...",EXCLUDED,The article does not address software requirements as it focuses on formal modeling from natural language specifications rather than software requirements in the context of agile methodologies. This violates Exclusion Criterion EC3.,INCLUDED,"The article addresses requirements in software projects using agile methodologies, which meets IC1. It is a study from academia, satisfying IC2. Although the abstract does not explicitly mention if the study is qualitative or quantitative, the context suggests it could be qualitative due to the focus on methodology development and natural language specifications, potentially meeting IC3. It is a primary study, as it presents new research, fulfilling IC4. The study does not appear to violate any Exclusion Criteria as it is not in a language other than English, does not mention software without addressing it (EC3), is not described as incomplete or just an abstract (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), and discusses an agile formal methodology (eXtreme Formal Modeling), thus not failing to address at least one agile methodology (EC7). There is no indication that it fails to answer any research questions (EC9)."
1350.0,Excluded,ec3,Herding Cats: Managing Large Test Suites,"This is the story of staying green in the midst of the challenges we faced as we accumulated an increasing number of automated tests. Iowa Student Loan (ISL) is well beyond the adoption phase of agile. Our commitment to writing tests has resulted in an enormous set of tests. We faced many challenges in keeping our tests under control. A few of the challenges that surfaced include: overly coupled tests, volatile dependencies and turned off tests. It took a lot of energy, discipline, and resources to overcome these challenges. We would like to share the techniques and experiences that emerged as we struggled to stay on green bar.",EXCLUDED,"The article is a case study that describes challenges in managing large test suites but does not address software requirements in the context of agile methodologies. It fails to address at least one agile methodology (as per EC7) and does not focus on software requirements, violating EC3. Additionally, while it is qualitative and from industry, it does not meet the core inclusion criterion of addressing software requirements using agile methodologies.",INCLUDED,"The article addresses software requirements using agile methodologies (IC1), is from industry (assumed from the context), and presents qualitative experiences (IC3). It does not appear to be a draft, presentation slides, or abstract (EC4), and it does not seem to be a tertiary study or meta-analysis (EC5). It does not specifically deal with teaching agile methods (EC6) or fail to address agile methodologies (EC7). There is also no information suggesting it fails to answer research questions (EC9)."
902.0,Excluded,ec7,Communication and co-ordination practices in software engineering projects,"In this paper we report on the investigation, description and analysis of communication and co-ordination practices in software engineering projects. We argue that existing models of the software process do not adequately address the situated, day-to-day practices in which software engineers collectively engage, yet it is through these practices that effective co-ordination is achieved. Drawing on concepts from organizational theory, we describe an approach for studying co-ordination activity in software engineering and the application of this approach to two real-world software projects. We describe key co-ordination issues in these projects and discuss their implications for software engineering practice.",EXCLUDED,"The article does not address software requirements as per EC3. While it discusses communication and coordination practices in software engineering projects, it does not focus on requirements in software projects using agile methodologies, which is a key requirement for inclusion (IC1). Therefore, it violates Exclusion Criterion EC3 and is classified as EXCLUDED.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), as it discusses communication and coordination practices within such projects. The study is based on real-world software projects, which can be considered primary research (IC4). The language is English (no violation of EC1), and it does not appear to be a draft, presentation slides, or just an abstract (no violation of EC4). It is not a tertiary or meta-analysis (no violation of EC5) and does not explicitly deal with teaching agile methods or fail to address any agile methodology (no violation of EC6 and EC7). The article seems to answer research questions related to co-ordination issues in software engineering practice (no violation of EC9). Therefore, the article meets all the Inclusion Criteria."
325.0,Excluded,ec3,Adapting Agile Methodology to Overcome Social Differences in Project Members,"Projects often consist with members with different values that may cause conflicts within the team causing decrease in members' motivation, involvement, and cohesiveness. In our experiences with off shoring Japanese software development projects to China, we were having difficulties with low quality deliverables and high turnover rate of Chinese members because of social differences. Our attempts to create a common culture were not very successful because people in general are less likely to change their basic views and behavior in a short period of time. We, however, were able to obtain success by acknowledging that differences are going to exist and adopting and adapting agile practices in consideration of the existence of these differences. We will show Kaizen as is used by a Japanese company in software development. We will focus on our experiences with social differences we've found and how we continuously adapted practices in our project to take better advantage of the situation as relationship between members changed. It is based on our over 10 years of experience in trying to improve a software package development at a software company in China, which has now become our subsidiary. During our attempts, we have learned the importance of agile mentality in resolving value difference issues. We believe what we've learned in adapting agile practices is not just limited to our particular project but can be useful in agile projects in general and thus can be used to assist resolve value differences in organizations as well.",INCLUDED,"The article is written in English (IC1), addresses software project requirements using agile methodologies (IC1), and focuses on adapting agile practices to overcome social differences in team members, which aligns with agile principles. It is based on real-world industry experience (IC2), uses qualitative research methods (IC3), and is a primary study (IC4). It does not violate any exclusion criteria: it is not in a non-English language (EC1), it addresses software requirements (EC3), it is not incomplete or a draft (EC4), it is not a tertiary or meta-analysis (EC5), it does not focus on teaching agile methods (EC6), it addresses at least one agile methodology (Kaizen, EC7), and it answers relevant research questions about adapting agile practices to social differences (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria.",INCLUDED,"The article meets all the Inclusion Criteria, does not violate any Exclusion Criteria, and addresses software requirements in projects using agile methodologies,"
1238.0,Included,included,Extreme programming of multi-agent systems,"The complexity of communication scenarios between agents make multi-agent systems difficult to build. Most of the existing Agent-Oriented Software Engineering methodologies face this complexity by guiding the developers through a rather waterfall-based process with a series of intermediate modeling artifacts. While these methodologies lead to executable prototypes relatively late and are expensive when requirements change, we explore a rather evolutionary approach with explicit support for change and rapid feedback. In particular, we apply Extreme Programming, a modern agile methodology from object-oriented software technology, for the design and implementation of multi-agent systems. The only modeling artifacts that are being maintained in our approach are a process model with which domain experts and developers design and communicate agent application scenarios, and the executable agent source code including automated test cases. We have successfully applied our approach for the development of a prototypical multi-agent system for clinical information logistics.",INCLUDED,"The article addresses software requirements in multi-agent systems using Extreme Programming, an agile methodology. It is a primary study that applies an agile approach to a software development context, not focused on teaching agile methods or tertiary research. The study is written in English, is complete and not a draft or abstract, and addresses at least one agile methodology (Extreme Programming). It satisfies all inclusion criteria and violates none of the exclusion criteria.",INCLUDED,"The article addresses requirements in software projects using agile methodologies, specifically applying Extreme Programming to multi-agent systems. It is a study from academia (as it discusses a prototype development), and it is qualitative in nature, discussing the process and application of a methodology. It is a primary study, not a secondary or meta-analysis, and it does not violate any exclusion criteria."
1370.0,Excluded,ec3,How can organisations learn: an information systems development perspective,"Prior to contemplating how organisations learn within the context of ISD project environments, it may be worthwhile to consider how project members learn from the organisation itself prior to considering how t...",EXCLUDED,"The article does not address software requirements as it focuses on organizational learning in ISD project environments, which does not specifically relate to software requirements. This violates Exclusion Criterion EC3.",EXCLUDED,"The article is written in English, but it does not specifically address software requirements in software projects using agile methodologies, which is a key inclusion criterion. Therefore, it fails to meet all the Inclusion Criteria."
1635.0,Included,included,Management Information System Requirements Analysis Model Based on the Agile Development,"The success rate is low in China, the main reason is the variability and uncertainty of requirements during investigation analysis. Requirements analysis has a pivotal role in the process of system development, so it is necessary to do a deep study on it. In order to deal with the rapidly changing system requirements, the essay signify the uncertainty, disagreement, priority of every requirement with numerical quantization within the 3D-model, based on agile project management thought, using the incremental iteration method to gradually clear system requirements. The model is convenient to decompose, refine, and specific every requirement, and is helpful for developers to make a more comprehensive and clear understanding. It is conducive for developers better understand requirements change trend, and have a good control of main change reasons, which effectively improves the success rate of system development.",INCLUDED,"The article addresses software requirements in the context of agile development, specifically focusing on a model that quantizes requirement uncertainty, disagreement, and priority using an incremental iteration method. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (incremental iteration) (EC7), and answers at least one research question (improving success rate of system development) (EC9). It meets all inclusion criteria: it addresses software project requirements using agile methodologies (IC1), is a study (academic context) (IC2), is qualitative in nature (IC3), and is a primary study (IC4). Therefore, it is classified as INCLUDED.",INCLUDED,"The article addresses management information system requirements analysis in software projects using agile methodologies (IC1), is likely from academia given its nature (IC2), seems to be a qualitative study based on its abstract (IC3), and presents a primary study model (IC4). It does not violate any exclusion criteria, as it is written in English, does not address software requirements in a generic sense but specifically focuses on requirements analysis within agile development, is presumably complete and not just a draft, presentation slides, or an abstract, is not tertiary or a meta-analysis, does not deal with teaching agile methods but applies agile methodology, addresses agile methodology (contrary to EC7), and seems to answer the research question on improving the success rate of system development."
