ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A,EXPLAIN_A
595.0,Included,included,Architecture in an agile world,"The world is moving faster than ever, and our software development techniques are struggling to keep up. On one hand, we are under pressure to deliver more features in our software products, so we need to have an agile feature set. On the other hand, we know that we need to have a well-defined and understandable architecture to prevent our project from being in chaos. How do we manage the balance between architecture and agility?",EXCLUDED,"The article is an abstract that does not present a study but rather a conceptual discussion. It fails to address any specific software requirements, agile methodologies, or research questions, violating Exclusion Criteria EC4 (study is incomplete or just an abstract) and EC9 (fails to answer at least one research question)."
537.0,Included,included,An integrated approach for requirement selection and scheduling in software release planning,"It is essential for product software companies to decide which requirements should be included in the next release and to make an appropriate time plan of the development project. Compared to the extensive research done on requirement selection, very little research has been performed on time scheduling. In this paper, we introduce two integer linear programming models that integrate time scheduling into software release planning. Given the resource and precedence constraints, our first model provides a schedule for developing the requirements such that the project duration is minimized. Our second model combines requirement selection and scheduling, so that it not only maximizes revenues but also simultaneously calculates an on-time-delivery project schedule. Since requirement dependencies are essential for scheduling the development process, we present a more detailed analysis of these dependencies. Furthermore, we present two mechanisms that facilitate dynamic adaptation for over-estimation or under-estimation of revenues or processing time, one of which includes the Scrum methodology. Finally, several simulations based on real-life data are performed. The results of these simulations indicate that requirement dependency can significantly influence the requirement selection and the corresponding project plan. Moreover, the model for combined requirement selection and scheduling outperforms the sequential selection and scheduling approach in terms of efficiency and on-time delivery.",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically mentioning the integration of Scrum methodology in dynamic adaptation mechanisms. It is a primary study based on real-life data and simulations, not a draft, abstract, or tertiary research. It meets IC1 (software requirements in agile contexts), IC2 (industry and academic relevance), IC3 (quantitative research), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (EC4), is not a meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum, EC7), and answers research questions related to requirement selection and scheduling (EC9). Therefore, it is classified as INCLUDED."
1112.0,Included,included,Embedding requirements within Model-Driven Architecture,"So far, the importance of including the Requirements Engineering paradigm within MDA has been established. ...",EXCLUDED,"The article does not address software requirements in the context of agile methodologies, violating Exclusion Criterion EC7. It focuses on Model-Driven Architecture (MDA) without specifying any agile methodology, thus failing to meet the requirement of addressing at least one agile methodology."
1462.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The article does not have an abstract available, violating Exclusion Criterion EC4 (study is incomplete, a draft, presentation slides, or just an abstract)."
1641.0,Included,included,Managing agile project requirements with storytest-driven development,"Agile project teams aim to include both business and development personnel, emphasizing direct communication over written requirements documents. Rather than trying to understand all of a system's detailed requirements before development, they carry out high-level release planning and then drive small development increments in cycles of one or two weeks. Doing so avoids many of the potential problems in traditional, phased software development approaches and accepts that changes are inevitable. Storytest-driven development brings requirements and automated testing ideas and practices together to support this agile process. The author describes this development approach and how its concrete examples can clarify and communicate business rules, aid agile team discussions, and facilitate team members' understanding of the concepts at the heart of the business needs. Such examples are executable, serving a secondary role as automated tests. Â© 2008 IEEE.",INCLUDED,"The article addresses software requirements in agile project settings using storytest-driven development, which integrates requirements and automated testing. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (agile development cycles and iterative increments) (EC7), and answers research questions related to requirements management in agile contexts (EC9). It meets inclusion criteria: it addresses software project requirements using agile methodologies (IC1), is from an academic context (IC2), presents a research-based approach (IC3), and is a primary study (IC4). Therefore, it is classified as INCLUDED."
1833.0,Included,included,Perceived productivity threats in large agile development projects,"Applying agile methodology in large software development projects introduces many challenges. For example, one may expect that the combination of autonomous teams and the necessity for an overall organizational control structure may lead to conflicts, and one may expect that Agile's informal means of knowledge sharing breaks down as the number of project participants increases. Such issues may in turn compromise the project's productivity. In order to better understand potential threats to productivity in large agile development projects, we conducted repertory grid interviews with 13 project members on their perceptions of threats to productivity. The project was a large software development project consisting of 11 Scrum teams from three different subcontractors. The repertory grid sessions produced 100 issues, which were content analyzed into 10 main problem areas: (1) Restraints on collaboration due to contracts, ownership, and culture, (2) Architectural and technical qualities are given low priority, (3) Conflicts between organizational control and flexibility, (4) Volatile and late requirements from external parties, (5) Lack of a shared vision for the end product, (6) Limited dissemination of functional knowledge, (7) Excessive dependencies within the system, (8) Overloading of key personnel, (9) Difficulties in maintaining well-functioning technical environments, (10) Difficulties in coordinating test and deployment with external parties. Using critical-case reasoning, we claim that projects deploying agile practices in projects with less favorable conditions than those enjoyed in the current project, and that are larger and more complex, are likely to face similar challenges.",INCLUDED,"The article addresses software project requirements in the context of agile methodologies (specifically Scrum), using qualitative research methods. It is a primary study conducted in industry (large software development projects with multiple subcontractors). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum) (EC7), and answers at least one research question (identifying perceived productivity threats) (EC9). All inclusion criteria are satisfied."
1488.0,Excluded,ec3,Information Needs in Collocated Software Development Teams,"Previous research has documented the fragmented nature of software development work. To explain this in more detail, we analyzed software developers' day-to-day information needs. We observed seventeen developers at a large software company and transcribed ...",INCLUDED,"The article addresses information needs in software development teams, which relates to software requirements in an agile context. It is a qualitative study based on observations of developers, conducted in an industry setting. The study does not violate any exclusion criteria: it is in English (EC1), addresses software development requirements (EC3), is a complete empirical study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (implied by collocated team practices), and answers relevant research questions (EC9). All inclusion criteria are met."
2755.0,Excluded,ec7,Using Task-oriented Requirements Engineering in Different Domains – Experiences with Application in Research and Industry, ,INCLUDED,"The article addresses software requirements in agile contexts across research and industry, fulfilling IC1. It is a study from both academic and industrial domains (IC2), and presents experiences that suggest qualitative research (IC3). The study is not a draft, abstract, or tertiary work (no violation of EC4, EC5), and it explicitly discusses agile methodologies in practice (no violation of EC7). It does not focus on teaching agile methods (no EC6), nor does it fail to answer research questions (no EC9). It meets all inclusion criteria and violates none of the exclusion criteria."
384.0,Included,included,Agile human-centered software engineering,"We seek to close the gap between software engineering (SE) and human-computer interaction (HCI) by indicating interdisciplinary interfaces throughout the different phases of SE and HCI lifecycles. As agile representatives of SE, Extreme Programming (XP) and Agile Modeling (AM) contribute helpful principles and practices for a common engineering approach. We present a cross-discipline user interface design lifecycle that integrates SE and HCI under the umbrella of agile development. Melting IT budgets, pressure of time and the demand to build better software in less time must be supported by traveling as light as possible. We did, therefore, choose not just to mediate both disciplines. Following our surveys, a rather radical approach best fits the demands of engineering organizations.",EXCLUDED,"The article does not address specific software requirements in software projects using agile methodologies. Instead, it focuses on interdisciplinary interfaces between software engineering and human-computer interaction, without detailing how agile methodologies address software requirements. This violates Exclusion Criterion EC7, which states that the study must address at least one agile methodology in the context of software requirements. Therefore, the article is classified as EXCLUDED."
487.0,Included,included,An analysis of the agile method Scrum approach adapted in the process areas requirements management and requirements development of the CMMI [Uma anÃ¡lise do mÃ©todo Ã¡gil scrum conforme abordagem nas Ã¡reas de processo gerenciamento e desenvolvimento de requisitos do CMMI],In this article we analize the agile method Scrum in relation to the process areas Requirements Management and Requirements Development of the CMMI model. The results obtained from this analysis indicate that Scrum does not meet all the required practices present in such process areas. We point out what is missing in Scrum to fully comply with these areas and propose solutions for it.,EXCLUDED,"The article is written in a mix of English and Portuguese, violating EC1 (written in a language other than English)."
1374.0,Excluded,ec3,How does an agile coaching team work?: a case study,"This paper presents a case study on building a successful agile coaching team focusing on distributed software development projects in a global software company. We describe how the team of eight coaches was built, how the coaches work as a team, how ...",INCLUDED,"The article is written in English, addresses software requirements in agile methodologies (specifically in distributed software development), and focuses on a case study of an agile coaching team. It does not violate any exclusion criteria (EC1, EC3, EC4, EC5, EC6, EC7, EC9), and meets all inclusion criteria (IC1, IC2, IC3, IC4). The study is qualitative and conducted in an industry setting, directly addressing agile practices in software project requirements."
149.0,Included,included,A literature review of agile practices and their effects in scientific software development,"The nature of scientific research and the development of scientific software have similarities with processes that follow the agile manifesto: responsiveness to change and collaboration are of the utmost importance. But how well do current scientific software development processes match the practices found in agile development methods, and what are the effects of using agile practices in such processes? In order to investigate this, we conduct a literature review, focusing on evaluating the agility present in a selection of scientific software projects. Both projects with intentionally agile practices and projects with a certain degree of agile elements are taken into consideration. In the agility assessment, we define and utilize an agile mapping chart. The elements of the mapping chart are based on Scrum and XP, thus covering two of the most prominent agile reference models. We compared the findings of the literature review to results of a previously conducted survey. The comparison indicates that scientific software development projects adopting agile practices perceive their testing to be better than average. No difference to average projects was perceived regarding requirements-related activities. Future work includes an in-depth case study to further investigate the existence and impact of agility in three large scientific software projects, ultimately aiming at a better understanding of the particularities involved in developing scientific software. ",EXCLUDED,"The study is a literature review and does not present original empirical research. It fails to address at least one research question directly, as it only compares findings to a previous survey and does not answer the core question about the effects of agile practices in scientific software development with sufficient depth. Additionally, it is classified as a tertiary study (a review of existing literature), which violates Exclusion Criterion EC5. Therefore, it is EXCLUDED."
1867.0,Included,included,Pragmatic web service design: An agile approach with the service responsibility and interaction design method,"Service-Oriented Architectures (SOAs) are increasingly deployed to achieve distributed systems that are modular, flexible and extensible. However, designing for SOA can be challenging; there are issues involving the granularity of the cooperating services, problems with proprietary data models being exchanged, and there are no currently accepted conventions for describing a service or its interactions at an abstract level. This paper gives an overview of the Service Responsibility and Interaction Design Method (SRI-DM), an agile approach for engineering a Web Service design based on capturing a scenario as a use-case, factoring this into a set of Service Responsibility and Collaboration Cards, and constructing a Sequence diagram illustrating their interactions in fulfilling the scenario. Through two case studies the paper shows how using SRI-DM can expose many of the problems of over-engineering SOA and help to create simpler, more pragmatic web service designs.",INCLUDED,"The article addresses software requirements in the context of web service design using agile methodologies (SRI-DM), as evidenced by its focus on scenario-based design, service responsibility, and interaction patterns. It is a primary study based on two case studies, not a draft, abstract, or tertiary research. It does not deal with teaching agile methods (EC6), does not fail to address an agile methodology (EC7), and answers relevant research questions about pragmatic web service design. It meets all inclusion criteria and violates no exclusion criteria."
1032.0,Excluded,ec3,Development of auxiliary functions: should you be agile? an empirical assessment of pair programming and test-first programming,"A considerable part of software systems is comprised of functions that support the main modules, such as array or string manipulation and basic math computation. These auxiliary functions are usually considered less complex, and thus tend to receive less attention from developers. However, failures in these functions might propagate to more critical modules, thereby affecting the system's overall reliability. Given the complementary role of auxiliary functions, a question that arises is whether agile practices, such as pair programming and test-first programming, can improve their correctness without affecting time-to-market. This paper presents an empirical assessment comparing the application of these agile practices with more traditional approaches. Our study comprises independent experiments of pair versus solo programming, and test-first versus test-last programming. The first study involved 85 novice programmers who applied both traditional and agile approaches in the development of six auxiliary functions within three different domains. Our results suggest that the agile practices might bring benefits in this context. In particular, pair programmers delivered correct implementations much more often, and test-first programming encouraged the production of larger and higher coverage test sets. On the downside, the main experiment showed that both practices significantly increase total development time. A replication of the test-first experiment with professional developers shows similar results.",INCLUDED,"The article addresses software requirements in the context of agile methodologies (pair programming and test-first programming) by empirically assessing their impact on the correctness and development time of auxiliary functions. It is a primary study conducted with novice and professional programmers, involving both qualitative and quantitative data. The study does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete empirical study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (pair programming and test-first programming) (EC7), and answers at least one research question (correctness and development time) (EC9). All inclusion criteria are satisfied."
367.0,Included,included,Agile development in a medical device company,"This article discuss the experience of the software development group working in Cochlearâ„¢ with introducing Scrum as an Agile methodology. We introduce the unique challenges we faced due to the nature of our product and the medical device industry. These are long validation cycles, strict regulatory standards and a high level of dependence on physical devices among others. We then show how we managed to overcome these by adapting Scrum and mapping it unto our current process in such a way as to continue to satisfy the strict standard and regulations. We show how we automated the testing of physical devices to overcome our dependence on manual testing. We present the tools we used for managing requirement, validation, reporting and performance metrics. Finally we briefly look at the implications of the proposed IEC62304 standard on software development with Scrum. Â© 2008 IEEE.",INCLUDED,"The article addresses software requirements in a medical device company using the Scrum agile methodology, which satisfies IC1. It is a qualitative case study from industry, meeting IC2. The study is a primary research report detailing experiences and adaptations, fulfilling IC3 and IC4. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum, EC7), and answers relevant research questions (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
69.0,Included,included,A case study for prioritizing features in environments with multiple stakeholders,"In corporations where the focus is a very dynamic business inserted in web environments, agile methods can fully meet almost all needs. However, in some particular companies, there are multiple stakeholders, who represent different interests in prioritizing activities. There is, consequently, a heavy challenge to implement agile methodologies which deal with such conflicts in order to prioritize the features of the system. It is important to focus on higher earned value as possible and consider the technical risks exposed by the development team. These barriers often lead these companies to abandon such agile methods, incorporating an approach of a chaotic work environment. This paper proposes an agile technique for prioritizing features in environments with multiple stakeholders and reports a successful experience in its usage.",INCLUDED,"The article addresses software requirements in agile environments with multiple stakeholders, specifically focusing on feature prioritization. It is a case study (primary research) from industry context, which satisfies IC1 (software project requirements with agile methodologies), IC2 (industry setting), IC3 (qualitative/qualitative case study), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (implied by context), and answers a research question on feature prioritization (EC9). Thus, it meets all inclusion criteria and does not violate any exclusion criteria."
2362.0,Excluded,ec3,Systematic literature studies: database searches vs. backward snowballing,"Systematic studies of the literature can be done in different ways. In particular, different guidelines propose different first steps in their recommendations, e.g. start with search strings in different databases or start with the reference lists of ...",EXCLUDED,"The article addresses literature review methods rather than software requirements in software projects using agile methodologies. It does not deal with software requirements or agile methodologies as required by IC1, thus failing to meet the inclusion criteria."
1230.0,Included,included,Extreme Product Line Engineering: Managing Variability and Traceability via Executable Specifications,"Extreme Programming (XP) has been reported to work well by valuing principles of simplicity, lightweight practices, effective feedback and continuous process and product improvement. This paper describes an approach towards managing software product lines in a setting where XP practices are common. The paper is an action research describing a case where we handled variability in the domain of intelligent home systems to satisfy a range of requirements by our industrial partner. The paper delves into how variability and traceability of requirements can be managed via executable specifications. A case study was used to evaluate the approach, and it provided initial insights on its feasibility and usefulness.",INCLUDED,"The article addresses software requirements in a software product line context using Extreme Programming (XP), an agile methodology, thereby satisfying IC1 and IC7. It is a case study conducted in an industrial setting, meeting IC2. The study is qualitative and primary, fulfilling IC3 and IC4. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), and addresses at least one agile methodology (XP) and at least one research question (feasibility and usefulness of managing variability via executable specifications) (EC9). Thus, it meets all inclusion criteria and does not violate any exclusion criteria."
2295.0,Excluded,ec3,Strategizing software development: strategic management of internet service development,This paper explores a theoretical linkage between software engineering and strategic management. Software engineering is now faced with two dynamic innovation streams: technological innovation and market innovation. Harshly shook by rapid technological ...,EXCLUDED,"The article does not address software requirements or agile methodologies (violates EC7), and focuses on theoretical linkage between software engineering and strategic management rather than software project requirements in agile contexts. It also does not specify any agile methodology or research questions related to software requirements, thus failing to meet IC1 and IC9."
546.0,Excluded,ec7,An MDE approach to software process tailoring,"Defining organizational processes is essential for enhancing maturity. However the best process depends on the particularities of each project. Typically a process engineer defines a specific process for each project in an ad-hoc fashion, which is expensive, unrepeatable and error prone. Trying to deal with this challenge we propose a model-based approach to software process tailoring that generates project specific processes based on the organizational process and the project context. The approach is systematic, repeatable and it does not depend on the people using it. The proposal has been applied for tailoring the Requirements Engineering process of a medium size company. The obtained results were validated by process engineers of the company. Processes obtained using the proposed approach matched the ones used in the company for planned contexts and also they were reasonable for non-expected situations.",EXCLUDED,"The article does not address software requirements in the context of agile methodologies (it focuses on process tailoring in Requirements Engineering without specifying agile practices or methodologies), violating Exclusion Criterion EC7. Additionally, it does not explicitly address at least one agile methodology, which is a required component per the inclusion criteria."
2350.0,Excluded,ec3,Survey of Agile Tool Usage and Needs," Today, little is known about what tools software companies are using to support their Agile methods and whether they are satisfied or dissatisfied with them. This is due to lack of objective surveys on the subject. The surveys that have been conducted so far are of a subjective nature and have mostly been performed by tool vendors. They are very limited in number and focus mainly on company structure and adherence to a specific Agile method rather than on tool usage and needs. For this reason, many companies have difficulties to choose appropriate tools to support their Agile process. One such company is the Swedish telecommunications giant Ericsson. To account for this lack of data, Ericsson commissioned us to conduct an independent survey focusing on the tool usage and needs as experienced by the Agile software community today. In this paper, we report on the results of our survey. The survey covers 121 responses from 120 different companies coming from 35 different countries. Our results show that the most satisfactory tool aspect is ease of use, whereas the least satisfactory one is lack of integration with other systems. Finally, our results provide a list of features that are most desired by the software companies today.",INCLUDED,"The article addresses software requirements in agile projects (IC1), is based on a primary study (IC4), and originates from industry (IC2). It does not violate any exclusion criteria: it is in English (EC1), addresses software tool usage and needs (not teaching agile or a tertiary study) (EC3, EC6), is a complete study (not a draft or abstract) (EC4), is not a meta-analysis or tertiary study (EC5), addresses at least one agile methodology (implied by context) (EC7), and answers research questions about tool usage and satisfaction (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
1406.0,Included,included,Identifying critical areas for improvement in agile multi-site co-development,"Agile processes potentially ease distributed software development by demanding regular communication and self-management of virtual team members. However, being designed for collocated teams, extensions to the regular process need to be made. We investigate critical areas of improvement based on a case of distributed Scrum involving two unaffiliated Austrian IT organizations that collaborate to build software. We identified eight critical areas for improvement originating from interviews, retrospective meetings and an in-depth case analysis. Key suggestions for practice include the establishment of long-lived single-site Scrum teams and the application of Behavior Driven Development (BDD) to make implicit requirement knowledge explicit and transparent to all of the distributed parties. Copyright Â© 2013 SCITEPRESS.",INCLUDED,"The article addresses software requirements in agile multi-site co-development (satisfies IC1), is based on a case study from industry (satisfies IC2), uses qualitative research methods through interviews and retrospective meetings (satisfies IC3), and is a primary study (satisfies IC4). It does not violate any exclusion criteria: it is in English (not EC1), addresses software development requirements (not EC3), is a complete case study (not EC4), is not a tertiary or meta-analysis (not EC5), does not focus on teaching agile methods (not EC6), addresses the Scrum methodology (not EC7), and answers research questions about critical areas for improvement (not EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
