ID,STATUS,Applied Criterios,TITLE,ABSTRACT
17.0,Excluded,ec7,\{MNE\} software for processing \{MEG\} and \{EEG\} data,"Abstract Magnetoencephalography and electroencephalography (M/EEG) measure the weak electromagnetic signals originating from neural currents in the brain. Using these signals to characterize and locate brain activity is a challenging task, as evidenced by several decades of methodological contributions. MNE, whose name stems from its capability to compute cortically-constrained minimum-norm current estimates from M/EEG data, is a software package that provides comprehensive analysis tools and workflows including preprocessing, source estimation, timeâ€“frequency analysis, statistical analysis, and several methods to estimate functional connectivity between distributed brain regions. The present paper gives detailed information about the \{MNE\} package and describes typical use cases while also warning about potential caveats in analysis. The \{MNE\} package is a collaborative effort of multiple institutes striving to implement and share best methods and to facilitate distribution of analysis pipelines to advance reproducibility of research. Full documentation is available at http://martinos.org/mne."
20.0,Excluded,ec7,\{UML\} 2.0 and agents: how to build agent-based systems with the new \{UML\} standard,"Unified Modeling Language (UML 2.0) is the upcoming standard of the Object Management Group for specifying object-oriented software systems. In this paper, we will show how \{UML\} 2.0 can be applied for the specification of agent-based systems. Moreover, we will give a short overview on existing agent methodologies to have a reference what has to be specified in such systems. The paper concludes with some outlook for further research and open issues for specifying agents with \{UML\} 2.0."
21.0,Included,included,"“To Deliver Faster, Build it in Reverse”",Gap Inc. Direct is using Agile methodologies for IT project delivery. This paper discusses how building systems starting from the customer facing pieces allows Gap to deliver projects faster. 
22.0,Included,included,“You Want to do What?” Breaking the Rules to Increase Customer Satisfaction,Customer satisfaction. Every customer support organization strives to increase and maintain a higher level of customer satisfaction. This is a story of how one software organization attempted to increase customer satisfaction by increasing predictability and response times to reported defects. Along the way they were able to establish trust with the customer support organization by implementing a process that seemed counterintuitive to its stakeholders.
28.0,Excluded,ec4,"13th Americas Conference on Information Systems, AMCIS 2007, Volume 3","The proceedings contain 66 papers. The special focus in this conference is on information systems, business improvements and mobile technologies in business in America. The topics include: roles of Information Technology in distributed and open innovation process; a service model for the development of management systems for IT-enabled services; design and implementation of semantic decision support system for supplier performance contract monitoring and execution; flexibility of multi-agent problem-solving based on mutual understanding; medical material management support using data mining and analytics; using neural networks to forecast box office success; exploring the relationship between IS performance and organizational culture in the government and public sector organizations; a value oriented conceptual model for innovation in local government; a theoretical framework for assessing the role of authenticity in visitor interactions with museum technologies; improving the knowledge base by integrating vital sign data into pre-hospital patient care records; identification of customer value of healthcare services in Taiwan; the effect of simplicity and perceived control on perceived ease of use; examining the relationships among personality traits, IT-specific traits, and perceived ease of use; reducing requirement perception gaps through coordination mechanisms in software development team; an evaluation of a workshop with a focus on fostering teaching excellence through research; toward recruitment and retention strategies based on the early exposure to the IT occupational culture and analyzing Scrum agile software development with development process, social factor, and project management lenses."
29.0,Excluded,ec4,"18th European Conference on System and Software Process Improvement, EuroSPI 2011","The proceedings contain 27 papers. The special focus in this conference is on Software Process Improvement in assessment, implementation, improvement methods, organization, people/teams, reuse, innovation and functional safety. The topics include: a multi-model workflow before establishing an acquisition contract based on CMMI-ACQ mode; ISO/IEC 15504-5 best practices for IT service management; a self-assessment framework for finding improvement objectives with ISO/IEC 29119 test standard; improving the deployment of IT service management processes; a survey on the application of the V-Modell XT in German government agencies; improving verification and validation in the medical device domain; the meaning of success for software SMEs; five agile factors: helping self-management to self-reflect; a detailed software process improvement methodology; motivation and empowerment in process improvement; improvement of innovation management through the enlargement of idea sources; the usability approach in software process improvement; a study of software development team dynamics in SPI; an empirical investigation into social productivity of a software process; agile process improvement; a reusable process model for enabling SPI in small settings; process support for product line application engineering; introducing scrum in a very small enterprise; using ISO/IEC 29110 to harness process improvement in very small entities; a software tool to support the integrated management of software projects in mature SMEs; how can software SMES become medical device software SMEs; the future of SPI knowledge and networking in Europe; adapting the FMEA for safety critical design processes and extending automotive SPICE to cover functional safety requirements and a safety architecture."
30.0,Excluded,ec4,19 - \{STAGE\} 3: Overview,"Publisher Summary This chapter presents an overview of the Stage 3 of the development of trading and investment systems. This stage accomplishes the transformation task, turning the specifications of the trading/investment system into software and hardware, where the design of the trading system from previous stages becomes the specification requirements for the software design. At this stage, the task of building software and hardware components of the trading/investment system include a development team in addition to the product team. The lead programmer/IT member of the product team manages this somewhat agile development team, which will engage in test-driven development. The financial engineers from the product team over the course of Stage 3 manage software quality assurance of business tier software. The traders from the product team perform and/or oversee quality assurance over GUI, integration, and reporting mechanisms, as well as run user-acceptance tests. The marketing person from the product team writes or oversees the writing of the user documentation for the software. Addition of a risk manager, who will learn the specifics of the trading/investment system and be able to recommend how best to build out the risk management functions and reporting requirements, is also recommended. A development team develops software iteratively, and this iterative development dramatically increases feedback versus sequential development, providing closer communication between the product team and the development team."
31.0,Excluded,ec4,1st international requirements engineering efficiency workshop: REEW 2011,"Requirements engineering research has for a long time focused on specification quality, leading to recommendations of how to engineer ""perfect"" requirements specifications. Practitioners, however, do not have the time, resources, and interests for overdoing ..."
32.0,Excluded,ec4,1st international workshop on conducting empirical studies in industry (CESI 2013),"The quality of empirical studies is critical for the success of the Software Engineering (SE) discipline. More and more SE researchers are conducting empirical studies involving the software industry. While there are established empirical procedures, ..."
33.0,Excluded,ec7,2 - Object-Oriented Analysis and Design,"Publisher Summary This chapter gives an account of the fundamental features of an object-oriented analysis and design (OOAD). The chapter introduces the unified modeling language (UML) as a notation for capturing and presenting the results of an OOAD. To obtain the full leverage of the \{UML\} one must superimpose on it a lifecycle development process. A guiding principle is that an \{OOAD\} process should be use-case driven, architecture centric, iterative, and incremental. A use-case diagram describes a single task that a system needs to perform. The totality of the individual use-cases should describe the full system requirements. An object diagram presents the architectural relationship between objects. It is the same as a collaboration diagram without any messages. An activity diagram is used to show the flow of control among the activities. Activity diagrams can be presented at various levels: as an analysis diagram or as method logic. A class diagram records the classes identified in the problem domain together with the architectural relationships that exist between them. A class symbol is decorated with the class name, the class attributes, and the class operations. Relationships between classes include association and composite aggregation."
34.0,Excluded,ec7,2 - The Harmony Process,"Publisher Summary This chapter briefly describes the Harmony process, both in the general form that contains a systems engineering phase and software-only form. The Harmony process consists of a set of integrated workflows for each phase in the process. In the general form the development spiral is preceded by a systems-engineering phase that elaborates all the requirements of the system and constructs a well-formed and executable use-case model. Then an internal subsystem architecture is created, and the requirements, represented primarily as â€œoperational contracts,â€� are allocated to these subsystems. The subsystems themselves are broken into high-level engineering discipline-specific components for electronic, mechanical, chemical, and software aspects and the logical interfaces among these components are defined. At this point, the models are handed off to the subsystem teams and their engineering disciplines for further development. The software-only enables some optimizations by the lack of hardware-software development. In Harmony-SW, use cases are identified but not detailed until they are about to be developed. With the development spiral a small set of use cases are selected and detailed with sequence diagrams, state machines or activity diagrams. This is followed by the creation of an object analysis model to capture the requirements of the use case. A methodology consists of a language to specify elements and relations of interest and a process that tells the developer what parts of the language to use, how to use them, and when to use them. The Harmony process 1 uses \{UML\} and variants, such as the Systems Modeling Language (SysML) or the Department of Defense Architecture Framework (DoDAF) \{UML\} profiles, as the language. The Harmony process also specifies an integrated set of workflows to guide the developer so that they can use the \{UML\} to its fullest advantage in developing robust, capable, and safe systems.1 The Harmony process is basically the next revision in the \{ROPES\} (rapid Object-oriented Process for Embedded Systems) process, discussed in the author's previous books with greatly expanded coverage for systems engineering."
36.0,Excluded,ec7,2.4 - Item Qualification Test Implementation,"Publisher Summary This chapter focuses on item qualification test implementation and concepts related to qualification test sequencing. The verification implementation coordination work begins with the assurance that all needed verification tasks are identified in approved planning for all product items or for those that lead the schedule. All tasks should be listed in the verification task matrix in terms of the name of the tasks, the product item to which they apply, the method to be applied, the responsibility for planning and implementing the work, and the date on which the tasks must begin and end. These entries act as the direction for work that must be accomplished, and it should be recognized that at any particular point of time the work may or may not have been accomplished. Hence, the system-coordinating agent must ensure that the person or team identified as the responsible agent accepts it and agrees to work toward the indicated schedule and goals. The chapter discusses general coordination activities and individual test coordination in detail. An overview of the inter-test and inter-method coordination is also presented in the chapter."
37.0,Included,included,20 - Plan and Document Technology Specifications,"Publisher Summary This chapter focuses on the process of planning and documenting technology specifications during the Stage 3 of the investment/trading system. The Software Requirements Specification (SRS) is the foundation on which the architecture, design, and implementation of a trading/investment system are built. While prototypes have been created for most features, the team will encounter and address them one by one in an iterative fashion. An \{SRS\} for a trading/investment system consists of the combined, ordered, and linked descriptions and documents, and prototypes created in earlier stages, including data dictionary, data maps and data flow maps, \{GUI\} requirements, error handling maps, and report generation maps. An iteration plan lays out the designâ€“buildâ€“test scenario for each piece of the system, tackling the features with the highest business priority and risk first. The team leader uses timeboxed iteration cycles to track progress of completed tasks and features as development progresses and at each iteration planning meeting, the development team breaks down features into tasks and assigns tasks to team members. When team members complete tasks, they erase them or cross them out. During iteration meetings, the team should also make estimates for computer capacity, server and database use, and network capacity, which should all be documented as they impact departments and personnel external to the development team. The team should also be cognizant of risks to external dependencies, such as delays caused by other departments or vendors. The quickest way to shorten a software development schedule is to buy components or reuse existing software. If the team intends to base a trading/investment system on a commercial off-the-shelf (COTS) application, they should incorporate aspects of that software into the design of glue code or middleware that is developed in-house."
38.0,Excluded,ec4,"2009 3rd International Workshop on Software Product Management, IWSPM 2009",The proceedings contain 8 papers. The topics discussed include: the agile requirements refinery: applying SCRUM principles to software product management; innovative features selection using real options theory; finance as a stakeholder in product management; investigating upstream versus downstream decision-making in software product management; software product line engineering with personas; towards a unified framework for contextual variability in requirements; a study on the importance of order in requirements prioritisation; and lightweight elicitation and analysis of software product quality goals: a multiple industrial case study.
40.0,Excluded,ec4,"2013 1st International Workshop on Conducting Empirical Studies in Industry, CESI 2013 - Proceedings","The proceedings contain 16 papers. The topics discussed include: software industry experiments: a systematic literature review; conducting empirical studies in industry: balancing rigor and relevance; industrial study on test driven development: challenges and experience; six reasons for rejecting an industrial survey paper; success factors for empirical studies in industry-academia collaboration: a reflection; mind the gap and find common ground: empirical research in multiple firms; generalizing by similarity: lessons learnt from industrial case studies; conducting a long-term case study in a software firm: an experience report; conducting interview studies: challenges, lessons learned, and open question; confounding factors when conducting industrial replications in requirements engineer; lessons learned from conducting industry surveys in software testing; and can we do useful industrial software engineering research in the shadow of lean and agile?."
41.0,Excluded,ec7,24-hour knowledge factory: Using Internet technology to leverage spatial and temporal separations,Several of the outsourcing endeavors of today will gradually converge to a hybrid outsourcing model that will involve a team spread across three or more strategically-located centers interconnected by Internet technology. White-collar professionals in ...
42.0,Included,included,25 percent Ahead of Schedule and just at “Step 2” of the SAMI,"The Sidky agile measurement index (SAMI) is a 5-step value-based roadmap to agility. The SAMI is designed to help guide organizations seeking to become more agile. Each of SAMIpsilas 5 steps (collaborative, evolutionary, integrated, adaptive and encompassing) aims to instill a new value in teams and organizations. This report shows how an organization that is just at Step 2 of the SAMI has realized a number of tangible business benefits. Some of these notable benefits are (a) 25% increase in the speed to market, (b) 45% decrease in the number of bugs reported after delivery of the system, (c) unprecedented customer satisfaction, and (d) 19% decrease in employee turnover because of the substantial increase in the team moral."
43.0,Included,included,259 Managing Requirements Uncertainty in Engine Control Systems Development,"In the development of complex systems the requirements for the system will almost always remain uncertain late into the software development. In gas turbine engine control systems at Rolls-Royce, typically 50% of requirements will change between Critical Design Review and Entry into Service. Ignoring or not planning for requirements uncertainty will cause scrap and rework that will manifest later in the project. This paper evaluates the impact of not managing these uncertainties and describes how Rolls-Royce uses Requirements Uncertainty Analysis to reduce this impact. The paper summarises the findings from an extensive Six Sigma study into requirements uncertainty and provides an overview of the technique now used to identify and monitor uncertainty through a project life. The return on investment of this technique has been between 100:1 and 500:1."
44.0,Excluded,ec4,2nd workshop on game development and model-driven software development,"Succeeding the 1st Workshop on GD&MDSD at last year's ICEC, this event continues the exchange of both novices and experts in the fields of game development and model-driven software development (MDSD). The overall goal is to further consolidate ..."
45.0,Excluded,ec3,3 - Architectures and Technologies,"Publisher Summary This chapter presents an architectural framework for corporate portals. There is no industry standard per se when it comes to the architecture for corporate portals, although it is fair to note that all credible portals have to offer a minimum and common set of core functionality. However, the exact mechanism for delivering this core functionality set differs among various portal servers. The basic set of functionality needed to implement a successful corporate portal includes a Web interface; presentation services for user interface management; data management services; external data access mechanisms; security, authentication, and personalization; portal development tools; and portal administration and management tools. Data management in this context encompasses content management, search, collaboration, and workflow management functionality. Content management, in turn, addresses content publishing, content structuring, content syndication, content aggregation, content delivery, content directory, and content categorization. Additionally, a portal also typically includes powerful directory functions and a rules engine for enforcing various rules-based services."
46.0,Excluded,ec3,3 - Microsoft Exchange and Windows Server,"Publisher Summary Microsoft Exchange 2003 is integrated with Windows Server and its associated services, and it cannot be deployed correctly without a sound Windows infrastructure and related services. Its most important component is the Windows Active Directory service, which is used for storing almost all aspects of the Microsoft Exchange configuration as well as referencing and addressing the recipients, the distribution groups, or other components. The Domain Name System (DNS) services are also critical, essentially for mail-routing purposes. They are also critical to the correct operation of the Windows Active Directory. Microsoft Exchange 2003 also takes advantage of multinode clustering in a much better way than Exchange 5.5 did. With Windows Server 2003 and the support of eight-node clustering from the Enterprise Edition, a number of clusters are deployed with more than two nodes, with five or six becoming quite common. The chapter also reviews the key Microsoft Exchange needs from the operating system, Windows Server, and discusses the operating-system features of the Windows Server 2003 \{SP1\} release."
47.0,Excluded,ec3,3 - Microsoft's Web Services,"Publisher Summary Microsoftâ€”one of the founding fathers of Web servicesâ€”and \{IBM\} have collaborated extensively when it comes to the development of the pivotal Web servicesâ€“related standards. Given Microsoft's current control of basic corporate \{IT\} infrastructure, especially at the desktop and the Web interface, it is inconceivable to see how Web services can truly flourish without depending on Microsoft technology. Moreover, Microsoft's development tools are widely used and highly popular within the application development community. Consequently, many Web services will be developed using Microsoft tools and deployed on Windows NT, Windows 2000, or Windows 2003. Windows Server 2003 is faster than the prior versions when it comes to file server and Web server transactions. Web services are meant to be relatively quick and easy endeavors. This chapter lists the key issues that really need to be considered in the Microsoft versus non-Microsoft debate vis-Ã -vis Web services. It also discusses the motivations for developing Web services at individual and corporation levels."
49.0,Excluded,ec3,4 - Infrastructure and Security,"Publisher Summary Infrastructure refers to those resources and items required to successfully support and operate information systems. Security refers to policies, procedures, software, and hardware designed to insure that data in information systems are protected against accidental or inappropriate destruction, alteration, or access. Properly supported, infrastructure competency allows an organization to maintain agility in responding to strategic directives and tactical changes. Infrastructure and security together provide the day-to-day operational support for the hardware and software, thus forming a critical component of the organization. Proper management of security requires attention to infrastructure and information system designs, as well as the organization adhering to strict and appropriate personnel practices. Both infrastructure and security are among the many invisible processes and resources required to implement and sustain a successful clinical computing system. Some resources, such as a data center, must be available prior to implementation of these systems; many other resources, such as those supporting security, should be available prior to implementation, but are often deferred until problems occur. Most infrastructure requirements continue and expand after the system is in use. Although organizations can purchase services through outside contracted vendors, those developing skills in their own personnel can use resources more cost effectively, saving as much as 25â€“40%, particularly in areas such as disaster management. In the longer term, the use of contracted services can result in the loss of skills necessary for making strategic decisions, putting into question whether the estimated savings of contracting can be achieved."
50.0,Excluded,ec3,4 - Technologies for Exchange 2003 Deployments,"Publisher Summary Data networks are an essential part of the overall operations of an Exchange 2003 organization. There are three other crucial partsâ€”namely, the storage technologies, the computing power, and the physical memory. A storage-centric approach to Exchange 2003 deployment is becoming popular primarily because of its ability to handle large quantities of data in a more manageable manner through the use of multiple databases per single server instances. This chapter discusses the elements that assist in making the most appropriate choice for the server components and for the deployment. Servers come in many forms and perform many different roles in an Exchange 2003 deployment. Choosing a server involves several steps, such as ensuring that the server infrastructure can actually meet the expected immediate demand and that the server can scale up the processors to accommodate the successful deployment as well as the increased usage of a mission-critical application such as electronic mail or collaboration."
51.0,Excluded,ec3,5 - The Migration Process,"Publisher Summary Migration of any portion of the technology infrastructure of an enterprise is not something to take lightly. Changes to the environment for the sake of change are irresponsible and not tolerated in business anymore. Technology deployment, however, is a real issue. Planning to alter and update the technical environment of an enterprise is a necessity that falls squarely on the shoulders of the Information Technology (IT) professionals. Understanding the reasons for making the changes, as well as planning when to introduce changes, is the focus of the migration process. Technology acquisition or deployment simply for the sake of technology is narrow minded and less than useful to the enterprise. The key is to solve known or anticipated business problems by using technology, while adopting internal and external processes as needed to optimize the technology. Understanding the business needs of the enterprise often requires that \{IT\} staff, as well as other key staff members, review the needs for operational improvements or efficiencies, and then determine the best technology to apply."
52.0,Included,included,5 Users Every Friday: A Case Study in Applied Research,"In 2007 a large consumer electronics retailer faced significant business challenges. In pursuit of new modes of strategic flexibility and fast execution, the e-commerce division transformed its culture around Agile principles and the user experience team adapted its practices to the new paradigm. How would increased velocity affect the quality of the functionality produced? How would time-intensive activities like usability research be affected? This paper presents a case study describing successes and failures while integrating continuous research into Agile projects."
53.0,Excluded,ec3,6 - Effective Global Teams,"Global companies and global products mean global teams. This chapter looks at the organization of these teams and what makes them tick along well. Two challenges are of particular interest to global teams. The most obvious is the need to deal with time zones. As people and companies have matured, teams are more likely to share the pain of time zones rather than assume that one part of the team should be on the phone at 1:30 in the morning, so meetings can be scheduled during one group's work day. More difficultly, global teams must deal with all the issues of collaboration over distanceâ€”maintaining good contact, working through imperfect communications tools, and making sure that all voices are heard. And, they must do all of this through cross-cultural collaboration. Finally, global teams are challenges to not only keep their \{UX\} skills up to date, but to find ways to share knowledge of users around the world."
54.0,Included,included,"7 - Methodology, Application Development, and System Architecture","Publisher Summary This chapter explores methodologies, types of methodologies, process models, application development environments, emulators, and tools. It also discusses integrated development environments (IDE), and hardware and system architecture. Methodology directly addresses the application development and project management of the upcoming project. Two of the methodologies are the waterfall method and the extreme programming model. It is noted that any number of methods can be used to develop a software project. Process model refers to building a commonality of thought processes in scope, features, deliverables, and expectations throughout the system development life cycle. It is also observed that every process model exhibits some level of requirements that need to be met and there is essentially a systems project as a deliverable to answer these requirements. The waterfall method is a deliberate and calculated system of structured development. One of the major characteristic of this type of development is the heavy emphasis on the requirements document. However, extreme programming relies on user stories. This storyboarding of ideas and concepts embraces change more readily and allows for more opportunity in what the customer actually needs and wants."
